 mc2(MeV) freq(MHz) Z I(mA) npart
    938.272029 0.1761000E+03   1. 0.00000E+00         10
 Sizes, positions are in mm, angles in mrad
 Phases in deg, energies in MeV
 Emittances and halo in mm.mrad or deg.MeV
 Phase advance per meter in deg/mm
 Current is in mA
 Powlost is in W
 H&V dispersion in mm
 ## z(m) gama-1 x0 y0 p0 x'0 y'0 W0 SizeX  SizeY SizeP sxx' syy' spW ex ey ep hx hy hp npart kx ky kz ex99  ey99 ep99 phiS Ws SCCurrent Aper e4D EmitR kr Powlost Xmax Ymax  ezdp SizeZ szdp Hdisp Vdisp Hdisp/dz Vdisp/dz E6D Sxy Sx'y'
   35    10.4094200 0.1964270E-01 0.1570839E-02 -.1448000E-02 0.7095120E-01 -.3258071E-04 0.1630970E-02 0.1076337E-02 0.1320116E+01 0.1728197E+01 0.1767769E+01 -.2091658E+00 -.1681453E+01 0.0000000E+00 0.2389572E+00 0.2377297E+00 0.5429510E-01 -.2684989E-01 0.4052224E+00 -.4323048E-01         10 0.3543430E-01 0.1667388E-01 0.3352095E-01 0.8580277E+00 0.1058322E+01 0.9895846E+00 0.9619544E-07 -.9343637E-10 0.0000000E+00 0.3000000E+02 0.5676939E-01 0.3087352E+00 0.1470078E+00 0.0000000E+00 0.2238242E+01 0.3132328E+01 0.2736470E+00 0.1632955E+01 0.8589481E+00 0.5074622E+01 -.3335887E+02 -.4552316E+00 0.1489823E+02 0.1551933E-01 0.7815969E-01 0.8453818E-02
   36    10.4216306 0.1964274E-01 0.1570441E-02 -.1428085E-02 0.7061013E-01 -.3261635E-04 0.1630980E-02 0.1076438E-02 0.1318227E+01 0.1716338E+01 0.1774487E+01 -.1988122E+00 -.1664133E+01 0.0000000E+00 0.2389572E+00 0.2377296E+00 0.5429517E-01 -.2684958E-01 0.4052225E+00 -.4322570E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8580282E+00 0.1058322E+01 0.9897478E+00 0.9624593E-07 -.9336887E-10 0.0000000E+00 0.3000000E+02 0.5676938E-01 0.3108990E+00 0.1000000E-04 0.0000000E+00 0.2227831E+01 0.3119902E+01 0.2736474E+00 0.1639163E+01 0.8704529E+00 0.5069536E+01 -.3317739E+02 -.4558510E+00 0.1489905E+02 0.1551935E-01 0.7762567E-01 0.8454468E-02
   36    10.4338412 0.1964284E-01 0.1570043E-02 -.1408169E-02 0.7026904E-01 -.3271230E-04 0.1630969E-02 0.1076421E-02 0.1316432E+01 0.1704519E+01 0.1781269E+01 -.1885880E+00 -.1647026E+01 0.0000000E+00 0.2389572E+00 0.2377297E+00 0.5429525E-01 -.2684968E-01 0.4052229E+00 -.4322000E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8580277E+00 0.1058322E+01 0.9899137E+00 0.9629641E-07 -.9335821E-10 0.0000000E+00 0.3000000E+02 0.5676939E-01 0.3130238E+00 0.1000000E-04 0.0000000E+00 0.2217420E+01 0.3107474E+01 0.2736478E+00 0.1645431E+01 0.8820106E+00 0.5062717E+01 -.3299194E+02 -.4582698E+00 0.1490216E+02 0.1551937E-01 0.7709408E-01 0.8458985E-02
   36    10.4460518 0.1964307E-01 0.1569643E-02 -.1388255E-02 0.6992801E-01 -.3276484E-04 0.1630769E-02 0.1075979E-02 0.1314728E+01 0.1692739E+01 0.1788115E+01 -.1786235E+00 -.1630342E+01 0.0000000E+00 0.2389558E+00 0.2377316E+00 0.5429533E-01 -.2685446E-01 0.4052224E+00 -.4321211E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8580167E+00 0.1058323E+01 0.9900869E+00 0.9634689E-07 -.9369927E-10 0.0000000E+00 0.3000000E+02 0.5676950E-01 0.3150977E+00 0.1000000E-04 0.0000000E+00 0.2207003E+01 0.3095039E+01 0.2736482E+00 0.1651765E+01 0.8938813E+00 0.5048346E+01 -.3279069E+02 -.4683888E+00 0.1491327E+02 0.1551943E-01 0.7656463E-01 0.8475522E-02
   36    10.4582624 0.1964352E-01 0.1569245E-02 -.1368347E-02 0.6958739E-01 -.3223368E-04 0.1629848E-02 0.1074078E-02 0.1313113E+01 0.1680997E+01 0.1795030E+01 -.1690176E+00 -.1614231E+01 0.0000000E+00 0.2389488E+00 0.2377406E+00 0.5429540E-01 -.2687796E-01 0.4052166E+00 -.4320083E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8579651E+00 0.1058328E+01 0.9902784E+00 0.9639737E-07 -.9551471E-10 0.0000000E+00 0.3000000E+02 0.5676999E-01 0.3171099E+00 0.1000000E-04 0.0000000E+00 0.2196578E+01 0.3082591E+01 0.2736485E+00 0.1658171E+01 0.9070225E+00 0.5008354E+01 -.3253893E+02 -.5010574E+00 0.1494476E+02 0.1551959E-01 0.7603657E-01 0.8522523E-02
   36    10.4704729 0.1964392E-01 0.1568865E-02 -.1348460E-02 0.6924801E-01 -.2920730E-04 0.1626930E-02 0.1068826E-02 0.1311585E+01 0.1669289E+01 0.1802031E+01 -.1591575E+00 -.1597697E+01 0.0000000E+00 0.2389248E+00 0.2377702E+00 0.5429548E-01 -.2695660E-01 0.4051910E+00 -.4319012E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8577951E+00 0.1058343E+01 0.9904971E+00 0.9644948E-07 -.1019558E-09 0.0000000E+00 0.3000000E+02 0.5677140E-01 0.3190476E+00 0.1000000E-04 0.0000000E+00 0.2186139E+01 0.3070125E+01 0.2736489E+00 0.1664654E+01 0.9241165E+00 0.4900103E+01 -.3215900E+02 -.5840729E+00 0.1501286E+02 0.1552001E-01 0.7550846E-01 0.8625661E-02
   36    10.4826835 0.1964238E-01 0.1568561E-02 -.1328632E-02 0.6891137E-01 -.1855145E-04 0.1619878E-02 0.1059053E-02 0.1310161E+01 0.1657637E+01 0.1809167E+01 -.1453990E+00 -.1574993E+01 0.0000000E+00 0.2388605E+00 0.2378468E+00 0.5429571E-01 -.2716242E-01 0.4051111E+00 -.4320879E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8573558E+00 0.1058380E+01 0.9907029E+00 0.9650485E-07 -.1198011E-09 0.0000000E+00 0.3000000E+02 0.5677446E-01 0.3208921E+00 0.1000000E-04 0.0000000E+00 0.2175712E+01 0.3057675E+01 0.2736501E+00 0.1671182E+01 0.9508657E+00 0.4657964E+01 -.3154244E+02 -.7417265E+00 0.1510925E+02 0.1552086E-01 0.7497879E-01 0.8771793E-02
   36    10.4948941 0.1963200E-01 0.1568479E-02 -.1308920E-02 0.6857829E-01 0.8208900E-05 0.1608715E-02 0.1051115E-02 0.1308922E+01 0.1646144E+01 0.1816539E+01 -.1163444E+00 -.1528521E+01 0.0000000E+00 0.2387368E+00 0.2379884E+00 0.5429674E-01 -.2754906E-01 0.4049299E+00 -.4336083E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8565468E+00 0.1058445E+01 0.9906694E+00 0.9656999E-07 -.1574882E-09 0.0000000E+00 0.3000000E+02 0.5677892E-01 0.3226225E+00 0.1000000E-04 0.0000000E+00 0.2165430E+01 0.3045430E+01 0.2736553E+00 0.1677562E+01 0.9941532E+00 0.4290419E+01 -.3074863E+02 -.8751826E+00 0.1507345E+02 0.1552210E-01 0.7445107E-01 0.8719959E-02
   36    10.5071047 0.1959742E-01 0.1568829E-02 -.1289319E-02 0.6824294E-01 0.4971847E-04 0.1604676E-02 0.1079966E-02 0.1308090E+01 0.1635084E+01 0.1824262E+01 -.5692917E-01 -.1436064E+01 0.0000000E+00 0.2386173E+00 0.2381174E+00 0.5430044E-01 -.2791431E-01 0.4046870E+00 -.4386151E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8558380E+00 0.1058501E+01 0.9897432E+00 0.9665141E-07 -.2043272E-09 0.0000000E+00 0.3000000E+02 0.5678131E-01 0.3242537E+00 0.1000000E-04 0.0000000E+00 0.2155654E+01 0.3033898E+01 0.2736739E+00 0.1683252E+01 0.1044149E+01 0.4229838E+01 -.3067496E+02 -.5019950E+00 0.1447787E+02 0.1552290E-01 0.7394656E-01 0.7889005E-02
   36    10.5193153 0.1952713E-01 0.1569623E-02 -.1269634E-02 0.6787707E-01 0.7502014E-04 0.1622713E-02 0.1228923E-02 0.1307898E+01 0.1624740E+01 0.1832205E+01 0.1350356E-01 -.1329643E+01 0.0000000E+00 0.2386516E+00 0.2380732E+00 0.5430918E-01 -.2782259E-01 0.4045861E+00 -.4480695E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8561642E+00 0.1058484E+01 0.9870459E+00 0.9674097E-07 -.1929443E-09 0.0000000E+00 0.3000000E+02 0.5677894E-01 0.3258658E+00 0.1000000E-04 0.0000000E+00 0.2146764E+01 0.3023615E+01 0.2737180E+00 0.1687633E+01 0.1042287E+01 0.5620135E+01 -.3358704E+02 0.1006312E+01 0.1343936E+02 0.1552280E-01 0.7350147E-01 0.6460452E-02
   36    10.5315259 0.1944184E-01 0.1570537E-02 -.1249668E-02 0.6742841E-01 0.7165313E-04 0.1646345E-02 0.1519183E-02 0.1308239E+01 0.1614967E+01 0.1839691E+01 0.5347715E-01 -.1272598E+01 0.0000000E+00 0.2387776E+00 0.2379430E+00 0.5432204E-01 -.2749252E-01 0.4046175E+00 -.4583402E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8569604E+00 0.1058450E+01 0.9831431E+00 0.9680285E-07 -.4152056E-10 0.0000000E+00 0.3000000E+02 0.5677785E-01 0.3274562E+00 0.1000000E-04 0.0000000E+00 0.2138575E+01 0.3014324E+01 0.2737828E+00 0.1690930E+01 0.9164327E+00 0.9700042E+01 -.4168869E+02 0.3313561E+01 0.1352533E+02 0.1552346E-01 0.7311869E-01 0.5565522E-02
   36    10.5437365 0.1937992E-01 0.1571358E-02 -.1229489E-02 0.6686105E-01 0.6378421E-04 0.1656246E-02 0.1849399E-02 0.1308813E+01 0.1605394E+01 0.1845736E+01 0.6700189E-01 -.1255816E+01 0.0000000E+00 0.2388387E+00 0.2378967E+00 0.5433300E-01 -.2738623E-01 0.4045747E+00 -.4650375E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8571931E+00 0.1058472E+01 0.9798745E+00 0.9678820E-07 0.2459579E-09 0.0000000E+00 0.3000000E+02 0.5678132E-01 0.3289395E+00 0.1000000E-04 0.0000000E+00 0.2130597E+01 0.3005334E+01 0.2738380E+00 0.1693859E+01 0.6680346E+00 0.1696500E+02 -.5485576E+02 0.5472617E+01 0.1559996E+02 0.1552537E-01 0.7276358E-01 0.5363963E-02
   36    10.5559471 0.1936474E-01 0.1572130E-02 -.1209270E-02 0.6618053E-01 0.6425724E-04 0.1654039E-02 0.2118134E-02 0.1309470E+01 0.1595845E+01 0.1849635E+01 0.7404924E-01 -.1247155E+01 0.0000000E+00 0.2388168E+00 0.2379412E+00 0.5433504E-01 -.2752989E-01 0.4044126E+00 -.4665551E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8568402E+00 0.1058537E+01 0.9783398E+00 0.9665629E-07 0.5950511E-09 0.0000000E+00 0.3000000E+02 0.5678675E-01 0.3302845E+00 0.1000000E-04 0.0000000E+00 0.2122587E+01 0.2996303E+01 0.2738483E+00 0.1696791E+01 0.3628608E+00 0.2585265E+02 -.6840531E+02 0.6432140E+01 0.1849042E+02 0.1552698E-01 0.7240946E-01 0.5477084E-02
   36    10.5681576 0.1939926E-01 0.1572964E-02 -.1189118E-02 0.6542396E-01 0.7369374E-04 0.1646157E-02 0.2265152E-02 0.1310206E+01 0.1586329E+01 0.1851267E+01 0.8494754E-01 -.1230906E+01 0.0000000E+00 0.2387442E+00 0.2380324E+00 0.5432513E-01 -.2780256E-01 0.4041830E+00 -.4630320E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8561966E+00 0.1058612E+01 0.9787023E+00 0.9640388E-07 0.9173284E-09 0.0000000E+00 0.3000000E+02 0.5679128E-01 0.3314941E+00 0.1000000E-04 0.0000000E+00 0.2114546E+01 0.2987226E+01 0.2737984E+00 0.1699759E+01 0.8189201E-01 0.3225275E+02 -.7476473E+02 0.5483199E+01 0.2008387E+02 0.1552685E-01 0.7204884E-01 0.5630733E-02
   36    10.5803682 0.1947032E-01 0.1573967E-02 -.1169071E-02 0.6464358E-01 0.9224148E-04 0.1637923E-02 0.2268308E-02 0.1311088E+01 0.1576941E+01 0.1851094E+01 0.1071080E+00 -.1197003E+01 0.0000000E+00 0.2386423E+00 0.2381415E+00 0.5430594E-01 -.2812294E-01 0.4039295E+00 -.4554794E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8554625E+00 0.1058676E+01 0.9806100E+00 0.9605377E-07 0.1139412E-08 0.0000000E+00 0.3000000E+02 0.5679304E-01 0.3325699E+00 0.1000000E-04 0.0000000E+00 0.2106595E+01 0.2978274E+01 0.2737016E+00 0.1702621E+01 -.1074042E+00 0.3395688E+02 -.7282327E+02 0.3368201E+01 0.1977234E+02 0.1552445E-01 0.7168609E-01 0.5631399E-02
   36    10.5925788 0.1955124E-01 0.1575251E-02 -.1149082E-02 0.6388855E-01 0.1185932E-03 0.1638970E-02 0.2158073E-02 0.1312274E+01 0.1567881E+01 0.1849966E+01 0.1525923E+00 -.1129836E+01 0.0000000E+00 0.2385596E+00 0.2382185E+00 0.5428484E-01 -.2835626E-01 0.4037038E+00 -.4463690E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8549806E+00 0.1058708E+01 0.9832736E+00 0.9565154E-07 0.1223540E-08 0.0000000E+00 0.3000000E+02 0.5679173E-01 0.3335379E+00 0.1000000E-04 0.0000000E+00 0.2098997E+01 0.2969815E+01 0.2735953E+00 0.1705015E+01 -.1718719E+00 0.3263927E+02 -.6799764E+02 0.1631820E+01 0.1827419E+02 0.1552065E-01 0.7133864E-01 0.5174058E-02
   36    10.6047894 0.1960866E-01 0.1576833E-02 -.1128946E-02 0.6318277E-01 0.1371178E-03 0.1663454E-02 0.2026832E-02 0.1314013E+01 0.1559442E+01 0.1848761E+01 0.2239682E+00 -.1028457E+01 0.0000000E+00 0.2386322E+00 0.2381470E+00 0.5427050E-01 -.2818149E-01 0.4036522E+00 -.4397861E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8555372E+00 0.1058686E+01 0.9855104E+00 0.9524280E-07 0.1198956E-08 0.0000000E+00 0.3000000E+02 0.5679203E-01 0.3345057E+00 0.1000000E-04 0.0000000E+00 0.2092147E+01 0.2962412E+01 0.2735230E+00 0.1706333E+01 -.1400945E+00 0.3059725E+02 -.6428816E+02 0.1416634E+01 0.1588942E+02 0.1551828E-01 0.7104301E-01 0.4108429E-02
   36    10.6170000 0.1962589E-01 0.1578478E-02 -.1108373E-02 0.6251311E-01 0.1270817E-03 0.1708392E-02 0.1971549E-02 0.1316425E+01 0.1551756E+01 0.1847878E+01 0.2927503E+00 -.9347172E+00 0.0000000E+00 0.2389341E+00 0.2378846E+00 0.5426668E-01 -.2746515E-01 0.4038841E+00 -.4381227E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8574166E+00 0.1058635E+01 0.9865118E+00 0.9485035E-07 0.1165329E-08 0.0000000E+00 0.3000000E+02 0.5680131E-01 0.3355631E+00 0.1000000E-04 0.0000000E+00 0.2086236E+01 0.2956335E+01 0.2735038E+00 0.1706246E+01 -.1025904E+00 0.2964131E+02 -.6294138E+02 0.2768253E+01 0.1305030E+02 0.1552025E-01 0.7083298E-01 0.2980403E-02
   36    10.6292106 0.1961768E-01 0.1579817E-02 -.1087206E-02 0.6184373E-01 0.8826531E-04 0.1757923E-02 0.2023798E-02 0.1319362E+01 0.1544631E+01 0.1847010E+01 0.3359716E+00 -.8794727E+00 0.0000000E+00 0.2393941E+00 0.2375151E+00 0.5426944E-01 -.2642179E-01 0.4043227E+00 -.4394355E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8600563E+00 0.1058610E+01 0.9865126E+00 0.9445789E-07 0.1220631E-08 0.0000000E+00 0.3000000E+02 0.5682215E-01 0.3366838E+00 0.1000000E-04 0.0000000E+00 0.2081016E+01 0.2951238E+01 0.2735177E+00 0.1705097E+01 -.1469227E+00 0.3073083E+02 -.6357199E+02 0.4745650E+01 0.1053329E+02 0.1552645E-01 0.7071061E-01 0.2114494E-02
   36    10.6414212 0.1961679E-01 0.1580588E-02 -.1065505E-02 0.6114235E-01 0.3898737E-04 0.1792307E-02 0.2140331E-02 0.1322539E+01 0.1537728E+01 0.1845386E+01 0.3464121E+00 -.8697003E+00 0.0000000E+00 0.2398396E+00 0.2371854E+00 0.5426897E-01 -.2546464E-01 0.4047618E+00 -.4394541E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8624247E+00 0.1058638E+01 0.9864477E+00 0.9402473E-07 0.1399080E-08 0.0000000E+00 0.3000000E+02 0.5684855E-01 0.3377250E+00 0.1000000E-04 0.0000000E+00 0.2076034E+01 0.2946478E+01 0.2735153E+00 0.1703561E+01 -.3024246E+00 0.3262549E+02 -.6314210E+02 0.5480024E+01 0.9461692E+01 0.1553334E-01 0.7065128E-01 0.1517505E-02
   36    10.6536318 0.1965261E-01 0.1580848E-02 -.1043547E-02 0.6040556E-01 0.7450183E-05 0.1800522E-02 0.2219665E-02 0.1325703E+01 0.1530759E+01 0.1842350E+01 0.3389108E+00 -.8823668E+00 0.0000000E+00 0.2400756E+00 0.2370300E+00 0.5425527E-01 -.2500535E-01 0.4049641E+00 -.4346855E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8635331E+00 0.1058692E+01 0.9872840E+00 0.9351665E-07 0.1637677E-08 0.0000000E+00 0.3000000E+02 0.5686697E-01 0.3384772E+00 0.1000000E-04 0.0000000E+00 0.2070896E+01 0.2941496E+01 0.2734463E+00 0.1702265E+01 -.5097583E+00 0.3253897E+02 -.5826421E+02 0.3938066E+01 0.9662989E+01 0.1553543E-01 0.7061409E-01 0.1234920E-02
   36    10.6658424 0.1973039E-01 0.1580853E-02 -.1021592E-02 0.5966422E-01 -.4039443E-05 0.1794286E-02 0.2185668E-02 0.1328788E+01 0.1523663E+01 0.1837885E+01 0.3324828E+00 -.8912397E+00 0.0000000E+00 0.2401413E+00 0.2369984E+00 0.5422671E-01 -.2491127E-01 0.4049809E+00 -.4241995E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8637406E+00 0.1058732E+01 0.9893075E+00 0.9293367E-07 0.1831111E-08 0.0000000E+00 0.3000000E+02 0.5687487E-01 0.3389366E+00 0.1000000E-04 0.0000000E+00 0.2065504E+01 0.2936149E+01 0.2733023E+00 0.1701400E+01 -.6718737E+00 0.3023258E+02 -.5081800E+02 0.1384741E+01 0.9950803E+01 0.1553158E-01 0.7057195E-01 0.1179707E-02
   36    10.6780529 0.1983537E-01 0.1580792E-02 -.9997431E-03 0.5896325E-01 -.4798829E-05 0.1784291E-02 0.2022800E-02 0.1331833E+01 0.1516500E+01 0.1832615E+01 0.3320888E+00 -.8905850E+00 0.0000000E+00 0.2401319E+00 0.2370112E+00 0.5418934E-01 -.2494617E-01 0.4049486E+00 -.4090413E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8636371E+00 0.1058744E+01 0.9922524E+00 0.9230672E-07 0.1903977E-08 0.0000000E+00 0.3000000E+02 0.5687573E-01 0.3391701E+00 0.1000000E-04 0.0000000E+00 0.2059932E+01 0.2930540E+01 0.2731140E+00 0.1700898E+01 -.7209315E+00 0.2726487E+02 -.4427478E+02 -.1157294E+01 0.1021506E+02 0.1552363E-01 0.7051846E-01 0.1220741E-02
   36    10.6902635 0.1994359E-01 0.1580755E-02 -.9780079E-03 0.5834284E-01 -.8966145E-06 0.1776750E-02 0.1753759E-02 0.1334901E+01 0.1509350E+01 0.1827503E+01 0.3396799E+00 -.8791634E+00 0.0000000E+00 0.2401046E+00 0.2370257E+00 0.5415212E-01 -.2497920E-01 0.4049459E+00 -.3920826E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8635522E+00 0.1058729E+01 0.9956376E+00 0.9168628E-07 0.1826351E-08 0.0000000E+00 0.3000000E+02 0.5687276E-01 0.3392170E+00 0.1000000E-04 0.0000000E+00 0.2054283E+01 0.2924817E+01 0.2729264E+00 0.1700638E+01 -.6326560E+00 0.2422791E+02 -.3974650E+02 -.3495492E+01 0.1063614E+02 0.1551419E-01 0.7045691E-01 0.1264614E-02
   36    10.7024741 0.2002835E-01 0.1580761E-02 -.9563110E-03 0.5782652E-01 0.2569558E-06 0.1779613E-02 0.1443689E-02 0.1338083E+01 0.1502314E+01 0.1823517E+01 0.3588514E+00 -.8539484E+00 0.0000000E+00 0.2401400E+00 0.2369915E+00 0.5412382E-01 -.2486000E-01 0.4050495E+00 -.3779682E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8638847E+00 0.1058702E+01 0.9987433E+00 0.9111958E-07 0.1616776E-08 0.0000000E+00 0.3000000E+02 0.5687289E-01 0.3391476E+00 0.1000000E-04 0.0000000E+00 0.2048697E+01 0.2919177E+01 0.2727838E+00 0.1700426E+01 -.4271948E+00 0.2058615E+02 -.3660440E+02 -.5363201E+01 0.1093202E+02 0.1550735E-01 0.7039895E-01 0.1185484E-02
   36    10.7146847 0.2006915E-01 0.1580683E-02 -.9344692E-03 0.5740936E-01 -.1761210E-04 0.1800891E-02 0.1190007E-02 0.1341474E+01 0.1495490E+01 0.1821288E+01 0.3849083E+00 -.8224422E+00 0.0000000E+00 0.2403818E+00 0.2368312E+00 0.5411057E-01 -.2434928E-01 0.4053904E+00 -.3711714E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8652722E+00 0.1058714E+01 0.1000758E+01 0.9063919E-07 0.1351196E-08 0.0000000E+00 0.3000000E+02 0.5689139E-01 0.3391152E+00 0.1000000E-04 0.0000000E+00 0.2043316E+01 0.2913825E+01 0.2727170E+00 0.1700026E+01 -.1747024E+00 0.1619426E+02 -.3395513E+02 -.5808969E+01 0.1017775E+02 0.1550906E-01 0.7036674E-01 0.8393889E-03
   36    10.7268953 0.2006798E-01 0.1580208E-02 -.9122958E-03 0.5705717E-01 -.6319128E-04 0.1829826E-02 0.1061561E-02 0.1345034E+01 0.1488817E+01 0.1820783E+01 0.3937018E+00 -.8146435E+00 0.0000000E+00 0.2408382E+00 0.2365613E+00 0.5411152E-01 -.2347905E-01 0.4059671E+00 -.3716705E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8675989E+00 0.1058809E+01 0.1001428E+01 0.9024348E-07 0.1142652E-08 0.0000000E+00 0.3000000E+02 0.5693384E-01 0.3391347E+00 0.1000000E-04 0.0000000E+00 0.2038067E+01 0.2908661E+01 0.2727218E+00 0.1699506E+01 0.2382751E-01 0.1288292E+02 -.3226757E+02 -.4515124E+01 0.8289955E+01 0.1552074E-01 0.7037590E-01 0.2656391E-03
   36    10.7391059 0.2005133E-01 0.1579155E-02 -.8898601E-03 0.5673004E-01 -.1059320E-03 0.1841504E-02 0.1029887E-02 0.1348548E+01 0.1482045E+01 0.1821369E+01 0.3797453E+00 -.8346382E+00 0.0000000E+00 0.2411912E+00 0.2363690E+00 0.5411785E-01 -.2283715E-01 0.4064245E+00 -.3745718E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8692799E+00 0.1058914E+01 0.1001434E+01 0.8989988E-07 0.1044832E-08 0.0000000E+00 0.3000000E+02 0.5697035E-01 0.3388042E+00 0.1000000E-04 0.0000000E+00 0.2032616E+01 0.2903209E+01 0.2727537E+00 0.1699369E+01 0.1212770E+00 0.1172835E+02 -.3202337E+02 -.3180054E+01 0.7055162E+01 0.1553207E-01 0.7040807E-01 -.2090641E-03
   36    10.7513165 0.2003897E-01 0.1577724E-02 -.8673828E-03 0.5640578E-01 -.1249849E-03 0.1838987E-02 0.1035176E-02 0.1351923E+01 0.1475079E+01 0.1822407E+01 0.3682694E+00 -.8501447E+00 0.0000000E+00 0.2413144E+00 0.2363071E+00 0.5412261E-01 -.2262014E-01 0.4066044E+00 -.3765771E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8698268E+00 0.1058958E+01 0.1001386E+01 0.8957582E-07 0.1017540E-08 0.0000000E+00 0.3000000E+02 0.5698431E-01 0.3378976E+00 0.1000000E-04 0.0000000E+00 0.2026820E+01 0.2897266E+01 0.2727776E+00 0.1699828E+01 0.1541788E+00 0.1166431E+02 -.3234091E+02 -.2653613E+01 0.6863103E+01 0.1553696E-01 0.7043558E-01 -.3875776E-03
   36    10.7635271 0.2003328E-01 0.1576159E-02 -.8449551E-03 0.5607850E-01 -.1299091E-03 0.1834702E-02 0.1043925E-02 0.1355236E+01 0.1468011E+01 0.1823587E+01 0.3678694E+00 -.8513949E+00 0.0000000E+00 0.2413302E+00 0.2363006E+00 0.5412480E-01 -.2259256E-01 0.4066422E+00 -.3774574E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8698812E+00 0.1058966E+01 0.1001447E+01 0.8925502E-07 0.1014481E-08 0.0000000E+00 0.3000000E+02 0.5698644E-01 0.3364955E+00 0.1000000E-04 0.0000000E+00 0.2020800E+01 0.2891002E+01 0.2727887E+00 0.1700694E+01 0.1646679E+00 0.1179637E+02 -.3257766E+02 -.2552063E+01 0.6990941E+01 0.1553807E-01 0.7045200E-01 -.4082898E-03
   36    10.7757376 0.2003126E-01 0.1574568E-02 -.8225691E-03 0.5574888E-01 -.1303621E-03 0.1832274E-02 0.1048504E-02 0.1358572E+01 0.1460939E+01 0.1824822E+01 0.3743913E+00 -.8440783E+00 0.0000000E+00 0.2413223E+00 0.2363049E+00 0.5412551E-01 -.2260491E-01 0.4066411E+00 -.3777514E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8698385E+00 0.1058964E+01 0.1001588E+01 0.8893421E-07 0.1016140E-08 0.0000000E+00 0.3000000E+02 0.5698563E-01 0.3346452E+00 0.1000000E-04 0.0000000E+00 0.2014684E+01 0.2884602E+01 0.2727923E+00 0.1701763E+01 0.1707149E+00 0.1187565E+02 -.3264781E+02 -.2559631E+01 0.7102403E+01 0.1553803E-01 0.7046152E-01 -.3949560E-03
   36    10.7879482 0.2003069E-01 0.1572979E-02 -.8002030E-03 0.5541825E-01 -.1300174E-03 0.1831289E-02 0.1050184E-02 0.1361974E+01 0.1453911E+01 0.1826101E+01 0.3837294E+00 -.8333701E+00 0.0000000E+00 0.2413151E+00 0.2363083E+00 0.5412559E-01 -.2261599E-01 0.4066356E+00 -.3778192E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8698046E+00 0.1058961E+01 0.1001763E+01 0.8861341E-07 0.1017579E-08 0.0000000E+00 0.3000000E+02 0.5698477E-01 0.3323302E+00 0.1000000E-04 0.0000000E+00 0.2008538E+01 0.2878158E+01 0.2727927E+00 0.1702932E+01 0.1769386E+00 0.1189363E+02 -.3261922E+02 -.2577114E+01 0.7156860E+01 0.1553781E-01 0.7046804E-01 -.3839730E-03
